REGIÃO,ANO,MÊS,ROUBO A TRANSEUNTE
SAO SEBASTIAO,2019,MAI,99
SAO SEBASTIAO,2019,JUN,83
SAO SEBASTIAO,2019,JUL,106
SAO SEBASTIAO,2019,AGO,81
SAO SEBASTIAO,2019,SET,66
SAO SEBASTIAO,2019,OUT,78
SAO SEBASTIAO,2019,NOV,76
SAO SEBASTIAO,2019,DEZ,48
SIA,2019,JAN,10
SIA,2019,FEV,7
SIA,2019,MAR,18
SIA,2019,ABR,9
SIA,2019,MAI,12
SIA,2019,JUN,15
SIA,2019,JUL,2
SIA,2019,AGO,14
SIA,2019,SET,11
SIA,2019,OUT,11
SIA,2019,NOV,11
SIA,2019,DEZ,5
SOBRADINHO ,2019,JAN,55
SOBRADINHO ,2019,FEV,55
SOBRADINHO,2019,MAR,51
SOBRADINHO,2019,ABR,61
SOBRADINHO,2019,MAI,55
SOBRADINHO,2019,JUN,53
SOBRADINHO,2019,JUL,34
SOBRADINHO,2019,AGO,68
SOBRADINHO,2019,SET,43
SOBRADINHO,2019,OUT,86
SOBRADINHO,2019,NOV,86
SOBRADINHO,2019,DEZ,41
SOBRADINHO ll,2019,JAN,25
SOBRADINHO ll,2019,FEV,32
SOBRADINHO ll,2019,MAR,37
SOBRADINHO ll,2019,ABR,22
SOBRADINHO ll,2019,MAI,36
SOBRADINHO ll,2019,JUN,20
SOBRADINHO ll,2019,JUL,27
SOBRADINHO ll,2019,AGO,51
SOBRADINHO ll,2019,SET,39
SOBRADINHO ll,2019,OUT,35
SOBRADINHO ll,2019,NOV,32
SOBRADINHO ll,2019,DEZ,33
SUDOESTE,2019,JAN,8
SUDOESTE,2019,FEV,3
SUDOESTE,2019,MAR,9
SUDOESTE,2019,ABR,6
SUDOESTE,2019,MAI,6
SUDOESTE,2019,JUN,0
SUDOESTE,2019,JUL,4
SUDOESTE,2019,AGO,2
SUDOESTE,2019,SET,9
SUDOESTE,2019,OUT,5
SUDOESTE,2019,NOV,11
SUDOESTE,2019,DEZ,10
TAGUATINGA,2019,JAN,238
TAGUATINGA,2019,FEV,189
TAGUATINGA,2019,MAR,225
TAGUATINGA,2019,ABR,273
TAGUATINGA,2019,MAI,237
TAGUATINGA,2019,JUN,208
TAGUATINGA,2019,JUL,225
TAGUATINGA,2019,AGO,293
TAGUATINGA,2019,SET,282
TAGUATINGA,2019,OUT,272
TAGUATINGA,2019,NOV,264
TAGUATINGA,2019,DEZ,213
VARJAO,2019,JAN,4
VARJAO,2019,FEV,0
VARJAO,2019,MAR,1
VARJAO,2019,ABR,1
VARJAO,2019,MAI,1
VARJAO,2019,JUN,2
VARJAO,2019,JUL,1
VARJAO,2019,AGO,1
VARJAO,2019,SET,3
VARJAO,2019,OUT,1
VARJAO,2019,NOV,1
VARJAO,2019,DEZ,3
VICENTE PIRES,2019,JAN,23
VICENTE PIRES,2019,FEV,25
VICENTE PIRES,2019,MAR,24
VICENTE PIRES,2019,ABR,16
VICENTE PIRES,2019,MAI,14
VICENTE PIRES,2019,JUN,17
VICENTE PIRES,2019,JUL,17
VICENTE PIRES,2019,AGO,27
VICENTE PIRES,2019,SET,19
VICENTE PIRES,2019,OUT,14
VICENTE PIRES,2019,NOV,23
VICENTE PIRES,2019,DEZ,19
